censusBlockId,censusYear,damagedCity,damagedStateAbbreviation,damagedZipCode,destroyed,disasterNumber,floodDamage,floodInsurance,foundationDamage,foundationDamageAmount,grossIncome,habitabilityRepairsRequired,homeOwnersInsurance,householdComposition,id,inspected,ownRent,personalPropertyEligible,ppfvl,primaryResidence,rentalAssistanceAmount,rentalAssistanceEligible,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,renterDamageLevel,repairAmount,repairAssistanceEligible,replacementAmount,replacementAssistanceEligible,residenceType,roofDamage,roofDamageAmount,rpfvl,sbaEligible,specialNeeds,tsaCheckedIn,tsaEligible,waterLevel
482014505002023,2017,HOUSTON,TX,77079,False,4332,True,False,False,,100000.0,True,True,1,5c12d727f2238e6fe401948a,True,Owner,False,7436.82,True,1742.0,True,,,,,,25033.51,True,,False,House/Duplex,False,,25033.51,False,False,False,True,28
482015534011026,2017,SPRING,TX,77388,False,4332,True,False,False,,39024.0,True,True,2,5c12d6ebf2238e6fe4001cef,True,Owner,False,7594.27,True,1952.0,True,,,,,,25036.38,True,,False,House/Duplex,False,,25036.38,False,False,False,True,20
482014316001000,2017,HOUSTON,TX,77056,False,4332,True,False,False,,300000.0,True,True,3,5c12d753f2238e6fe402adde,True,Owner,False,2004.5,True,2912.0,True,,,,,,25036.7,True,,False,House/Duplex,False,,25036.7,True,False,False,False,32
482012516002002,2017,NEW CANEY,TX,77357,False,4332,True,False,False,,15000.0,True,False,1,5c12d6def2238e6fe4ffca1d,True,Owner,True,6513.52,True,1594.0,True,,,,,,25036.87,True,,False,House/Duplex,False,,26331.68,False,False,False,True,100
483610208002010,2017,ORANGE,TX,77630,False,4332,True,False,False,,48800.0,True,True,2,5c12d7fef2238e6fe406f736,True,Owner,True,1978.1,True,2496.0,True,,,,,,25040.1,True,,False,House/Duplex,False,,25040.1,True,False,True,True,18
482014545013000,2017,HOUSTON,TX,77094,False,4332,True,False,False,,,True,True,3,5c12d713f2238e6fe4011c5b,True,Owner,True,6280.68,True,2132.0,True,,,,,,25040.3,True,,False,House/Duplex,False,,25040.3,True,False,True,True,24
482013316022000,2017,HOUSTON,TX,77094,False,4332,True,False,False,,250000.0,True,True,4,5c12d839f2238e6fe408794e,True,Owner,False,3381.47,True,2132.0,True,,,,,,25040.38,True,,False,House/Duplex,False,,22399.17,False,False,False,True,22
482450001011000,2017,BEAUMONT,TX,77708,False,4332,True,False,False,,20756.0,True,False,2,5c12d7c1f2238e6fe4056a2b,True,Owner,True,6743.93,True,1712.0,True,,,,,,25041.59,True,,False,House/Duplex,False,,25041.59,False,False,False,True,24
482450106001010,2017,GROVES,TX,77619,False,4332,True,False,False,,30000.0,True,True,2,5c12d8c6f2238e6fe40bf3cc,True,Owner,False,5667.6,True,1370.0,True,,,,,,25042.16,True,,False,House/Duplex,False,,25042.16,False,False,False,True,29
482012516002041,2017,HUFFMAN,TX,77336,False,4332,True,False,False,,210000.0,True,True,3,5c12d7aef2238e6fe404ee53,True,Owner,False,2022.54,True,3904.0,True,,,,,,25043.74,True,,False,House/Duplex,False,,25043.74,True,False,False,True,6
482014505002032,2017,HOUSTON,TX,77079,False,4332,True,False,False,,65000.0,True,True,2,5c12d825f2238e6fe407f335,True,Owner,False,2730.28,True,2132.0,True,,,,,,25044.07,True,,False,House/Duplex,False,,25044.07,False,False,False,True,26
482012518001000,2017,CROSBY,TX,77532,False,4332,True,False,False,,76000.0,True,False,5,5c12d772f2238e6fe4036d68,True,Owner,False,4343.84,True,,False,,,,,,25045.03,True,,False,House/Duplex,False,,25045.03,False,False,False,True,12
483610217001003,2017,VIDOR,TX,77662,False,4332,True,False,False,,95000.0,True,True,4,5c12d79ef2238e6fe4048cb6,True,Owner,False,5565.13,True,3034.0,True,,,,,,25048.75,True,,False,House/Duplex,False,,25048.75,False,False,False,True,38
482014221005015,2017,HOUSTON,TX,77035,False,4332,True,False,False,,75000.0,True,True,1,5c12d7b5f2238e6fe4051da8,True,Owner,False,2698.96,True,1742.0,True,,,,,,25051.78,True,,False,House/Duplex,False,,25051.78,False,False,False,True,24
482450101001014,2017,PORT ARTHUR,TX,77642,False,4332,True,False,False,,80000.0,True,False,7,5c12d6e4f2238e6fe4ffee66,True,Owner,False,11831.0,True,2142.0,True,,,,,,25052.89,True,,False,House/Duplex,False,,25052.89,True,False,False,True,27
482012409021016,2017,HUMBLE,TX,77338,False,4332,True,False,False,,80000.0,True,True,2,5c12d76ff2238e6fe4035cf5,True,Owner,False,5733.86,True,1594.0,True,,,,,,25059.88,True,,False,House/Duplex,False,,25059.88,True,False,False,True,75
483732102042073,2017,GOODRICH,TX,77335,False,4332,True,False,False,,,True,False,4,5c12d712f2238e6fe4011a16,True,Owner,False,7402.02,True,1490.0,True,,,,,,25060.15,True,,False,Mobile Home,False,,25060.15,False,False,False,True,41
482014505002037,2017,HOUSTON,TX,77079,False,4332,True,False,False,,148000.0,True,True,2,5c12d820f2238e6fe407d43a,True,Owner,False,5701.99,True,1594.0,True,,,,,,25062.37,True,,False,House/Duplex,False,,25062.37,True,False,True,True,38
481576736002004,2017,RICHMOND,TX,77406,False,4332,True,False,False,,68000.0,True,True,4,5c12d7e9f2238e6fe4066a3d,True,Owner,False,2820.28,True,2666.0,True,,,,,,25069.86,True,,False,House/Duplex,False,,25069.86,True,False,True,True,6
482450069002001,2017,PORT ARTHUR,TX,77640,False,4332,True,False,False,,84000.0,True,True,2,5c12d8cbf2238e6fe40c1436,True,Owner,False,2469.24,True,,False,,,,,,25070.18,True,,False,House/Duplex,False,,25070.18,False,False,False,True,22
483519504002000,2017,ORANGE,TX,77632,False,4332,True,False,False,,30000.0,True,False,2,5c12d86ff2238e6fe409d28f,True,Owner,True,7322.06,True,,False,,,,,,25072.07,True,,False,Mobile Home,False,,25072.07,False,False,False,True,28
482015405021001,2017,HOUSTON,TX,77084,False,4332,True,False,False,,40000.0,True,True,4,5c12d6e9f2238e6fe4000b88,True,Owner,False,12326.87,True,3380.0,True,,,,,,25072.08,True,,False,House/Duplex,False,,25072.08,False,False,False,True,29
481677205012008,2017,LEAGUE CITY,TX,77573,False,4332,True,False,False,,220000.0,True,True,5,5c12d7f1f2238e6fe4069eb4,True,Owner,False,7390.23,True,2666.0,True,,,,,,25072.47,True,,False,House/Duplex,False,,25072.47,False,False,False,False,30
482013508013004,2017,FRIENDSWOOD,TX,77546,False,4332,True,False,False,,,True,True,3,5c12d881f2238e6fe40a3f94,True,Owner,True,7229.72,True,,False,,,,,,25072.81,True,,False,House/Duplex,False,,25171.57,False,False,True,True,25
482013508013002,2017,FRIENDSWOOD,TX,77546,False,4332,True,False,False,,19000.0,True,False,1,5c12d767f2238e6fe40329e6,True,Owner,True,449.99,True,1742.0,True,,,,,,25074.69,True,,False,House/Duplex,False,,25074.69,False,False,False,True,40
481576730022031,2017,KATY,TX,77450,False,4332,True,False,False,,101000.0,True,True,4,5c12d76af2238e6fe4034273,True,Owner,False,8985.38,True,2912.0,True,,,,,,25075.96,True,,False,House/Duplex,False,,25075.96,True,False,False,True,20
482013503002024,2017,HOUSTON,TX,77089,False,4332,True,False,False,,,True,True,1,5c12d842f2238e6fe408b4f4,True,Owner,True,3622.12,True,,False,,,,,,25078.27,True,,False,House/Duplex,True,249.0,25416.39,False,False,False,True,24
481576708001007,2017,FRESNO,TX,77545,False,4332,True,False,False,,26000.0,True,False,5,5c12d757f2238e6fe402c79f,True,Owner,False,9952.69,True,2666.0,True,,,,,,25079.6,True,,False,House/Duplex,False,,18847.04,False,False,True,True,24
482012509004004,2017,KINGWOOD,TX,77345,False,4332,True,False,False,,,True,True,1,5c12d895f2238e6fe40ac0e3,True,Owner,False,5430.38,True,1594.0,True,,,,,,25079.85,True,,False,House/Duplex,False,,25079.85,False,False,False,True,38
482012509002008,2017,KINGWOOD,TX,77345,False,4332,True,False,False,,97000.0,True,True,2,5c12d8aff2238e6fe40b6c6a,True,Owner,False,7755.24,True,1742.0,True,,,,,,25080.45,True,,False,House/Duplex,False,,25080.45,False,True,False,True,23
482012323013022,2017,HOUSTON,TX,77044,False,4332,True,False,False,,,True,True,4,5c12d83ff2238e6fe408a067,True,Owner,True,7220.71,True,2666.0,True,,,,,,25085.28,True,,False,House/Duplex,False,,25085.28,True,False,False,True,45
480396629003018,2017,BRAZORIA,TX,77422,False,4332,True,False,False,,25000.0,True,False,3,5c12d759f2238e6fe402d1df,True,Owner,False,5414.38,True,2960.0,True,,,,,,25085.66,True,,False,Mobile Home,False,,25085.66,False,False,False,False,33
481576730021050,2017,KATY,TX,77450,False,4332,True,False,False,,150000.0,True,True,4,5c12d888f2238e6fe40a6bd3,True,Owner,False,4007.58,True,2912.0,True,,,,,,25085.96,True,,False,House/Duplex,False,,25085.96,True,False,True,True,26
482015401002020,2017,HOUSTON,TX,77041,False,4332,True,False,False,,92000.0,True,True,4,5c12d7b1f2238e6fe40500eb,True,Owner,False,3612.28,True,7462.0,True,2018-03-31T00:00:00.000Z,HOUSTON,TX,77056,,25088.01,True,,False,House/Duplex,False,,26856.02,True,False,False,True,8
483519504002039,2017,DEWEYVILLE,TX,77632,False,4332,True,False,False,,82000.0,True,True,2,5c12d82af2238e6fe408189e,True,Owner,False,665.48,True,1394.0,True,,,,,,25088.47,True,,False,Mobile Home,False,,25088.47,False,False,False,True,26
483610216003006,2017,VIDOR,TX,77662,False,4332,True,False,False,,117000.0,True,True,4,5c12d756f2238e6fe402c239,True,Owner,False,6596.54,True,3034.0,True,,,,,,25091.77,True,,False,House/Duplex,False,,25091.77,True,False,False,True,25
482450001011008,2017,BEAUMONT,TX,77708,False,4332,True,False,False,,16500.0,True,False,1,5c12d710f2238e6fe4010a00,True,Owner,True,4024.37,True,1398.0,True,,,,,,25093.16,True,,False,House/Duplex,False,,15176.95,False,False,False,True,31
482012509004002,2017,KINGWOOD,TX,77345,False,4332,True,False,False,,188000.0,True,True,2,5c12d7b7f2238e6fe4052744,True,Owner,False,2852.72,True,1594.0,True,,,,,,25094.66,True,,False,House/Duplex,False,,25094.66,True,False,False,True,17
480396605001007,2017,BROOKSIDE VILLAGE,TX,77581,False,4332,True,False,False,,45000.0,True,True,2,5c12d8c6f2238e6fe40bf423,True,Owner,False,8251.07,True,1948.0,True,,,,,,25095.11,True,,False,House/Duplex,False,,25095.11,True,False,False,True,30
482917003005038,2017,CLEVELAND,TX,77327,False,4332,True,False,False,,14970.0,True,False,1,5c12d896f2238e6fe40ac4be,True,Owner,True,7182.44,True,1742.0,True,,,,,,25096.87,True,,False,Mobile Home,False,,25096.87,False,False,False,True,26
482014507001025,2017,HOUSTON,TX,77079,False,4332,True,False,False,,120000.0,True,True,4,5c12d7c0f2238e6fe4056264,True,Owner,False,9159.37,True,1952.0,True,,,,,,25099.83,True,,False,House/Duplex,False,,25099.83,True,False,False,True,34
483610212002043,2017,ORANGE,TX,77632,False,4332,True,False,False,,32000.0,True,True,1,5c12d74df2238e6fe4028584,True,Owner,False,0.0,True,1398.0,True,,,,,,25102.65,True,,False,House/Duplex,False,,25102.65,True,False,False,True,25
480717102005012,2017,BAYTOWN,TX,77523,False,4332,True,False,False,,,True,True,5,5c12d881f2238e6fe40a3d5e,True,Owner,False,9127.45,True,2912.0,True,,,,,,25104.78,True,,False,House/Duplex,False,,25104.78,False,False,False,True,32
483610217001009,2017,VIDOR,TX,77662,False,4332,True,False,False,,50000.0,True,True,2,5c12d716f2238e6fe401333e,True,Owner,False,3460.94,True,1712.0,True,,,,,,25105.95,True,,False,House/Duplex,False,,25105.95,True,False,False,True,26
482013508021098,2017,FRIENDSWOOD,TX,77546,False,4332,True,False,False,,141000.0,True,True,3,5c12d8cff2238e6fe40c329a,True,Owner,False,8650.14,True,1952.0,True,,,,,,25107.55,True,,False,House/Duplex,False,,25107.55,False,False,False,True,24
482012410001015,2017,SPRING,TX,77373,False,4332,True,False,False,,,True,False,7,5c12d8cff2238e6fe40c2e75,True,Owner,True,11793.18,True,5332.0,True,,,,,,25108.48,True,,False,House/Duplex,False,,25108.48,False,False,True,True,41
482012324031001,2017,HOUSTON,TX,77049,False,4332,True,False,False,,49000.0,True,False,4,5c12d7e6f2238e6fe4065733,True,Owner,False,8738.11,True,2666.0,True,,,,,,25110.4,True,,False,Mobile Home,False,,25110.4,False,False,False,True,27
483919504001278,2017,BAYSIDE,TX,78340,True,4332,False,False,False,,11700.0,True,False,1,5c12d6bbf2238e6fe4feeca7,True,Owner,True,7501.21,True,1246.0,True,,,,,,25113.73,True,,False,House/Duplex,False,,165969.9,False,False,False,True,0
481990307001124,2017,SILSBEE,TX,77656,False,4332,True,False,False,,65000.0,True,False,5,5c12d72cf2238e6fe401b0b5,True,Owner,True,6590.03,True,2202.0,True,,,,,,25114.54,True,,False,House/Duplex,False,,16189.58,False,False,False,True,5
481990305024058,2017,LUMBERTON,TX,77657,False,4332,True,False,False,,62000.0,True,False,2,5c12d7fdf2238e6fe406f10d,True,Owner,False,1909.19,True,1398.0,True,,,,,,25116.8,True,,False,Mobile Home,False,,25116.8,False,False,False,True,22
482014505002011,2017,HOUSTON,TX,77079,False,4332,True,False,False,,230000.0,True,True,3,5c12d774f2238e6fe4037592,True,Owner,False,5354.61,True,1952.0,True,,,,,,25121.01,True,,False,House/Duplex,False,,25121.01,True,False,False,True,43
481677239002075,2017,CRYSTAL BEACH,TX,77650,False,4332,False,False,True,24967.95,15000.0,True,False,1,5c12d83af2238e6fe408814e,True,Owner,False,0.0,True,1742.0,True,,,,,,25121.07,True,,False,House/Duplex,False,,25121.07,False,False,True,True,0
482015537002040,2017,SPRING,TX,77379,False,4332,True,False,False,,50000.0,True,True,4,5c12d7eff2238e6fe40692d7,True,Owner,False,6706.4,True,5332.0,True,,,,,,25124.62,True,,False,House/Duplex,False,,25124.62,True,False,False,True,33
483396921002033,2017,CONROE,TX,77385,False,4332,True,False,False,,35000.0,True,False,4,5c12d765f2238e6fe4031f1d,True,Owner,True,5567.73,True,2666.0,True,,,,,,25125.0,True,,False,Mobile Home,False,,25125.0,False,False,False,True,34
482012323011035,2017,HOUSTON,TX,77044,False,4332,True,False,False,,40000.0,True,True,5,5c12d8b0f2238e6fe40b7212,True,Owner,True,3584.0,True,3688.0,True,,,,,,25125.81,True,,False,House/Duplex,False,,25125.81,False,False,False,True,24
482450001012022,2017,BEAUMONT,TX,77708,False,4332,True,False,False,,,True,True,5,5c12d720f2238e6fe401644d,True,Owner,False,9797.82,True,2202.0,True,,,,,,25126.14,True,,False,House/Duplex,False,,25126.14,True,False,False,True,27
482014508023001,2017,HOUSTON,TX,77042,False,4332,True,False,False,,30000000.0,True,True,2,5c12d8c9f2238e6fe40c0d47,True,Owner,False,7399.95,True,1952.0,True,,,,,,25132.09,True,,False,House/Duplex,False,,25132.09,False,False,False,True,20
482015405022021,2017,HOUSTON,TX,77084,False,4332,True,False,False,,39000.0,True,True,7,5c12d702f2238e6fe400af10,True,Owner,True,10146.43,True,3380.0,True,,,,,,25135.02,True,,False,House/Duplex,False,,25135.02,False,False,False,True,40
482013308002088,2017,HOUSTON,TX,77047,False,4332,True,False,False,,45000.0,True,True,2,5c12d885f2238e6fe40a57eb,True,Owner,False,3986.46,True,2132.0,True,,,,,,25135.21,True,,False,House/Duplex,False,,26639.11,False,False,True,True,24
483610216003016,2017,VIDOR,TX,77662,False,4332,True,False,False,,20000.0,True,False,2,5c12d85bf2238e6fe4095576,True,Owner,False,7708.55,True,1398.0,True,,,,,,25135.26,True,,False,House/Duplex,False,,25135.26,False,False,False,True,38
483610212002046,2017,ORANGE,TX,77632,False,4332,True,False,False,,45000.0,True,True,3,5c12d839f2238e6fe408798c,True,Owner,False,1498.44,True,,False,,,,,,25136.96,True,,False,Mobile Home,False,,25136.96,False,False,True,True,24
482012507012083,2017,HUMBLE,TX,77338,False,4332,True,False,False,,24000.0,True,True,1,5c12d886f2238e6fe40a5b23,True,Owner,True,3797.05,True,1594.0,True,,,,,,25137.07,True,,False,House/Duplex,False,,25137.07,False,False,False,True,33
483610216001003,2017,VIDOR,TX,77662,False,4332,True,False,False,,40000.0,True,True,6,5c12d8a7f2238e6fe40b37d4,True,Owner,False,10191.62,True,2202.0,True,,,,,,25137.96,True,,False,House/Duplex,False,,25137.96,False,False,False,True,56
481990306001001,2017,LUMBERTON,TX,77657,False,4332,True,False,False,,70800.0,True,True,2,5c12d7e7f2238e6fe4065afc,True,Owner,True,10897.68,True,1398.0,True,,,,,,25138.64,True,,False,House/Duplex,False,,25138.64,True,True,True,True,32
482012531001020,2017,BAYTOWN,TX,77521,False,4332,True,False,False,,,True,False,6,5c12d8d0f2238e6fe40c39e2,True,Owner,False,10022.92,True,5332.0,True,,,,,,25139.94,True,,False,House/Duplex,False,,25139.94,False,True,False,True,47
482015417002063,2017,HOUSTON,TX,77084,False,4332,True,False,False,,120000.0,True,True,2,5c12d86af2238e6fe409afb4,True,Owner,False,1115.14,True,1594.0,True,,,,,,25141.35,True,,False,House/Duplex,False,,25141.35,True,False,False,False,15
482015405021005,2017,HOUSTON,TX,77084,False,4332,True,False,False,,108673.0,True,True,3,5c12d6daf2238e6fe4ffb827,True,Owner,False,6629.26,True,2666.0,True,,,,,,25142.47,True,,False,House/Duplex,False,,25142.47,True,False,False,True,27
483519504002010,2017,ORANGE,TX,77632,False,4332,True,False,False,,60000.0,True,False,1,5c12d6c1f2238e6fe4ff1485,True,Owner,False,6242.59,True,1142.0,True,,,,,,25142.95,True,,False,House/Duplex,False,,25142.95,True,False,False,True,36
481576709011016,2017,MISSOURI CITY,TX,77459,False,4332,True,False,False,,21792.0,True,True,1,5c12d6c7f2238e6fe4ff3af6,True,Owner,True,3741.0,True,,False,,,,,,25144.16,True,,False,House/Duplex,False,,25376.0,False,False,False,False,7
483610218001050,2017,VIDOR,TX,77662,False,4332,True,False,False,,,True,False,2,5c12d864f2238e6fe40988cf,True,Owner,True,7153.59,True,1712.0,True,,,,,,25148.92,True,,False,House/Duplex,False,,25148.92,False,False,False,True,60
481576755001218,2017,THOMPSONS,TX,77481,False,4332,True,False,False,,25000.0,True,True,2,5c12d704f2238e6fe400bb4e,True,Owner,False,4513.84,True,2132.0,True,,,,,,25149.11,True,,False,House/Duplex,False,,25149.11,False,False,False,True,13
482014224021004,2017,HOUSTON,TX,77035,False,4332,True,False,False,,36136.0,True,False,4,5c12d898f2238e6fe40ad4f4,True,Owner,True,8271.92,True,2666.0,True,,,,,,25150.69,True,,False,House/Duplex,False,,25150.69,False,False,False,False,12
480259506001066,2017,SKIDMORE,TX,78389,False,4332,False,False,False,,15000.0,True,False,3,5c12d75df2238e6fe402ee1c,True,Owner,False,0.0,True,2410.0,True,,,,,,25150.82,True,,False,Mobile Home,True,6397.3,25150.82,False,False,False,True,0
482419501002008,2017,BROOKELAND,TX,75931,False,4332,True,False,True,754.63,8832.0,True,False,5,5c12d786f2238e6fe403eb46,True,Owner,True,811.77,True,6871.7,True,2018-06-30T00:00:00.000Z,BROOKELAND,TX,75931,,25151.14,True,,False,Mobile Home,True,1460.88,25151.14,False,False,False,True,4
482015407001025,2017,HOUSTON,TX,77041,False,4332,True,False,False,,200000.0,True,True,3,5c12d729f2238e6fe401a1c7,True,Owner,False,3818.98,True,2912.0,True,,,,,,25152.31,True,,False,House/Duplex,False,,25152.31,True,False,True,True,36
482450001012022,2017,BEAUMONT,TX,77708,False,4332,True,False,False,,14256.0,True,False,1,5c12d6d7f2238e6fe4ffa199,True,Owner,True,8597.52,True,2544.0,True,,,,,,25152.59,True,,False,House/Duplex,False,,25152.59,False,False,False,True,36
481576730022034,2017,KATY,TX,77450,False,4332,True,False,False,,,True,True,1,5c12d83df2238e6fe408913b,True,Owner,True,4722.45,True,1742.0,True,,,,,,25152.63,True,,False,House/Duplex,False,,25152.63,False,False,True,True,12
480396645013010,2017,BRAZORIA,TX,77422,False,4332,True,False,True,2178.0,48000.0,True,False,1,5c12d861f2238e6fe409792a,True,Owner,False,6757.72,True,2234.0,True,,,,,,25153.28,True,,False,House/Duplex,False,,25153.28,True,False,False,True,16
