approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
0,61,0,61,470,BEAUMONT,Jefferson (County),4332,0,62,0,0,8a6fc5e57844eb414be983441dca8234,5a2f5292758c6e4347f891c6,2019-01-29T15:58:18.095Z,69,25887.0,4596,24713.0,TX,55196.0,61671,131,0,209,77702
70,285,4,359,4807,PORT NECHES,Jefferson (County),4332,122,247,24,5,4c2cd41e6d67d5de1c0c0a2198c65e37,5a2f5292758c6e4347f89167,2019-01-29T14:38:01.707Z,240,155719.0,267437,1274523.0,TX,1697679.0,3067091,638,1,1021,77651
1,1,0,2,2897,LIBERTY,Harris (County),4332,0,1,0,0,7a13a00fd62bc0d73eae0f65b1c65dcd,5a2f5292758c6e4347f891cf,2019-01-29T15:58:18.084Z,2,3808.0,1594,5156.0,TX,10558.0,8694,3,0,3,77575
238,446,16,700,7329,KATY,Harris (County),4332,322,370,63,10,a744a2eebccfe906996675174b8cfccb,5a2f5292758c6e4347f891cb,2019-01-29T15:58:18.034Z,276,419005.0,775292,3932758.0,TX,5127056.0,7629950,1041,3,1472,77493
1,42,0,43,746,GANADO,Jackson (County),4332,1,54,0,0,4046efaf5f76edce00e158588ee09246,5a2f5292758c6e4347f89157,2019-01-29T15:58:18.061Z,28,20664.0,6198,21463.0,TX,48325.0,61963,83,0,166,77962
309,678,17,1004,7538,SOUTH HOUSTON,Harris (County),4332,418,652,57,7,d5ef394460fb5d5c8458d4c9e169affa,5a2f5292758c6e4347f891b7,2019-01-29T15:58:18.007Z,183,1145166.0,1523017,4881847.0,TX,7550030.0,9927600,1317,7,1500,77587
1,8,0,9,1399,LA WARD,Jackson (County),4332,1,12,0,0,fe40fdcabfaa7c0007d0ee07b3a3ba7a,5a2f5292758c6e4347f891a7,2018-11-20T19:06:47.323Z,8,2500.0,9192,19741.0,TX,31433.0,29386,21,0,33,77970
11,18,2,31,6274,RAYWOOD,Liberty (County),4332,11,20,4,0,adacebe59440924b1abb72ea7409b9d5,5a2f5292758c6e4347f89199,2019-01-29T15:58:18.069Z,14,22956.0,31042,194417.0,TX,248415.0,307466,49,0,60,77582
9,113,4,126,3504,SEABROOK,Harris (County),4332,33,144,4,2,4614cfcc0a4d8adeb992604922138e3f,5a2f5292758c6e4347f891d9,2018-11-20T19:06:47.237Z,128,67555.0,101330,241613.0,TX,410498.0,1089772,311,2,479,77586
1,280,1,282,659,EDNA,Jackson (County),4332,1,285,1,1,26478c318fffb9fa07d564c5da85f9ef,5a2f5292758c6e4347f89177,2018-11-20T19:06:47.004Z,141,132230.0,45395,95713.0,TX,273338.0,282843,429,0,865,77957
