approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
7,18,2,27,6031,EAGLE PASS,Maverick (County),1931,8,25,1,1,7ad78ca215e97cec7bdeb091bcb5b215,5a2eb8b1758c6e4347f57c4f,2017-12-11T16:56:17.659Z,4,40466,19930,159529,TX,219925,235201,39,1,43,78852
0,41,0,41,914,BROWNSVILLE,Cameron (County),1931,0,79,0,0,e6a9698b57d28c3a470fe657f8d8b738,5a2eb8b1758c6e4347f57c5b,2017-12-11T16:56:17.664Z,11,6582,10780,45248,TX,62610,82217,90,0,93,78526
0,10,0,10,1305,RIO HONDO,Cameron (County),1931,0,14,0,0,19ffb4ab8ccbb3e2904374dc32a879a7,5a2eb8b1758c6e4347f57c69,2017-12-11T16:56:17.669Z,3,2344,1484,18008,TX,21836,22181,17,0,17,78583
0,1,0,1,5846,EL INDIO,Maverick (County),1931,0,1,0,0,6a515267ed9a570ccb2e054a48dacf81,5a2eb8b1758c6e4347f57c71,2017-12-11T16:56:17.720Z,0,314,0,5531,TX,5846,5846,1,0,1,78860
1,69,2,72,1965,HEBBRONVILLE,Jim Hogg (County),1931,2,162,0,2,73ba6b3dd9deb76968edead8515c69c4,5a2eb8b1758c6e4347f57c6d,2017-12-11T16:56:17.718Z,19,10638,47876,173868,TX,232381,363492,185,2,198,78361
3,24,1,28,3434,GRULLA,Starr (County),1931,3,35,2,0,801b67692393dc90c91a8856b6e8fcd0,5a2eb8b1758c6e4347f57c72,2017-12-11T16:56:17.720Z,9,8335,25462,128911,TX,162707,168273,49,0,59,78548
0,7,0,7,1186,OILTON,Webb (County),1931,0,10,0,0,0cc0aaec5627b68496a42cfa2774c7cc,5a2eb8b1758c6e4347f57c75,2017-12-11T16:56:17.722Z,0,0,4694,11260,TX,15954,11862,10,0,10,78371
9,28,3,40,4460,DEL RIO,Val Verde (County),1931,6,54,4,2,53dbbbc07dff5f0aaa99a34eeb112f59,5a2eb8b1758c6e4347f57c73,2017-12-11T16:56:17.721Z,12,48501,31415,234915,TX,314831,347870,78,1,91,78840
10,19,0,29,6772,LAREDO,Webb (County),1931,11,20,0,0,0c2fd1cfa99ee30fa969a16896ce57dd,5a2eb8b1758c6e4347f57c74,2017-12-11T16:56:17.721Z,4,55765,29116,158092,TX,242973,237004,35,0,40,78043
4,103,0,107,1458,EDINBURG,Hidalgo (County),1931,5,152,0,0,7ef5e29fcc8df904e0c79a85da79fea3,5a2eb8b1758c6e4347f57cc5,2017-12-11T16:56:17.753Z,11,33447,69741,142011,TX,245199,244875,168,0,174,78541
0,21,0,21,943,PROGRESO,Hidalgo (County),1931,0,39,0,0,61c708042c52664c0f250a328496351d,5a2eb8b1758c6e4347f57cca,2017-12-11T16:56:17.754Z,8,2029,5806,35469,TX,43304,44320,47,0,47,78579
22,19,15,56,14434,LAREDO,Webb (County),1931,17,24,16,5,f37bf20b1b3f06bb8f7db57b4f7d372a,5a2eb8b1758c6e4347f57cd2,2017-12-11T16:56:17.758Z,5,138843,81602,660242,TX,880686,967080,67,7,76,78041
2,123,0,125,1577,SAN BENITO,Cameron (County),1931,0,170,0,0,c881571f3cefbd0c046632ff9e20b030,5a2eb8b1758c6e4347f57d0b,2017-12-11T16:56:17.780Z,5,24989,49555,228529,TX,303073,275905,175,0,185,78586
3,6,0,9,5702,LA GRULLA,Starr (County),1931,3,7,0,0,760aec8ae5a09683ac51fa2053e95c5e,5a2eb8b1758c6e4347f57ceb,2017-12-11T16:56:17.767Z,1,12525,9936,48440,TX,70901,62725,11,0,12,78548
0,10,0,10,551,MCALLEN,Hidalgo (County),1931,0,19,0,0,7f91fa085b3583b442f6450b2b0d2f17,5a2eb8b1758c6e4347f57d10,2017-12-11T16:56:17.782Z,5,1642,0,9368,TX,11010,13223,24,0,24,78501
1,47,0,48,2907,LA VILLA,Hidalgo (County),1931,2,60,0,0,1eb0ee7fe08dba812c7b608b6061a860,5a2eb8b1758c6e4347f57ce1,2017-12-11T16:56:17.763Z,1,12613,10182,148414,TX,171209,183113,63,0,63,78562
6,19,5,30,4853,SAN JUAN,Hidalgo (County),1931,5,42,3,2,bde146afeb325343f9cc19bfed808681,5a2eb8b1758c6e4347f57d13,2017-12-11T16:56:17.783Z,8,52123,31534,198801,TX,282458,291194,60,2,63,78589
2,15,1,18,1998,MISSION,Hidalgo (County),1931,1,26,2,0,ae4c6972d52e49e41467df034527a4ef,5a2eb8b1758c6e4347f57ce3,2017-12-11T16:56:17.764Z,15,11670,26875,55271,TX,93816,87905,44,1,55,78572
1,28,0,29,1610,HARLINGEN,Cameron (County),1931,1,42,0,0,c7040265cffa4cc95bd976d510ff3cb2,5a2eb8b1758c6e4347f57d09,2017-12-11T16:56:17.779Z,3,7317,5378,59196,TX,71890,74066,46,0,48,78552
2,15,0,17,2542,HARGILL,Hidalgo (County),1931,1,18,0,0,cb700cb8c12dd4b2608bd8c999043d21,5a2eb8b1758c6e4347f57d0e,2017-12-11T16:56:17.781Z,0,5175,15005,40140,TX,60320,48305,19,0,19,78549
3,72,0,75,1988,ELSA,Hidalgo (County),1931,1,99,0,0,34ef2977a6583a9b6b9e1da545f5caff,5a2eb8b1758c6e4347f57ce0,2017-12-11T16:56:17.763Z,5,15053,27260,169609,TX,211922,208724,105,0,108,78543
0,9,0,9,3275,ZAPATA,Zapata (County),1931,0,15,1,1,a6c3250983f8723dcc58a8677da52b65,5a2eb8b1758c6e4347f57cd4,2017-12-11T16:56:17.758Z,8,3164,9458,8657,TX,21280,81878,25,0,28,78076
0,3,0,3,609,MCALLEN,Hidalgo (County),1931,0,7,0,0,91e965c16a7e3eae25b94d577a293900,5a2eb8b1758c6e4347f57cc8,2017-12-11T16:56:17.754Z,3,550,0,3942,TX,4492,6092,10,0,10,78504
1,6,3,10,9991,LAREDO,Webb (County),1931,3,8,0,3,9336a657b2c46bbf8466c5654269ab78,5a2eb8b1758c6e4347f57ced,2017-12-11T16:56:17.768Z,4,11849,10772,92364,TX,114986,179834,18,2,22,78045
0,1,0,1,1061,LUBBOCK,Lubbock (County),1931,0,5,0,0,4c18198af4641ebb0714ac72910599fe,5a2eb8b1758c6e4347f57ccd,2017-12-11T16:56:17.756Z,1,407,0,2858,TX,3265,6364,6,0,6,79414
0,3,0,3,858,LUBBOCK,Lubbock (County),1931,0,12,0,0,a89b39c0e9f36003b2f4e3025c14c96d,5a2eb8b1758c6e4347f57d15,2017-12-11T16:56:17.784Z,0,0,0,2677,TX,2677,10300,12,0,12,79412
4,18,1,23,2033,SLATON,Lubbock (County),1931,2,44,0,0,7c0ae3e4a9890b6b82ce014fffc5df73,5a2eb8b1758c6e4347f57ce9,2017-12-11T16:56:17.767Z,4,22350,13284,104209,TX,139843,101652,50,1,53,79364
1,32,0,33,661,EDINBURG,Hidalgo (County),1931,0,59,0,0,5e68ca7ac19a8ea7a927a62911a40b55,5a2eb8b1758c6e4347f57d0d,2017-12-11T16:56:17.781Z,7,11449,21161,25678,TX,58289,43597,66,0,69,78539
0,6,0,6,822,PENITAS,Hidalgo (County),1931,0,16,0,0,7e9b552aa01acee6b48adb44ce1fdd46,5a2eb8b1758c6e4347f57d12,2017-12-11T16:56:17.783Z,6,3202,6752,13533,TX,23488,18073,22,0,24,78576
0,40,0,40,1105,BROWNSVILLE,Cameron (County),1931,0,60,0,0,1f6195d3c26cb855f5ee99b119f2d6a5,5a2eb8b1758c6e4347f57d08,2017-12-11T16:56:17.779Z,7,5425,9620,56250,TX,71295,74003,67,0,70,78520
1,2,1,4,8294,RIO BRAVO,Webb (County),1931,1,3,0,1,a3c5fc5e731028fecce8469316df6317,5a2eb8b1758c6e4347f57cee,2017-12-11T16:56:17.768Z,1,11768,2288,30095,TX,44151,49765,6,1,6,78046
2,27,0,29,2910,LA BLANCA,Hidalgo (County),1931,1,31,0,0,e2ab78f7f6e81198f9f43ac54bea1e74,5a2eb8b1758c6e4347f57cc6,2017-12-11T16:56:17.753Z,1,8810,19259,101575,TX,129645,96019,33,0,33,78558
12,98,1,111,1569,WESLACO,Hidalgo (County),1931,11,194,1,0,6e46ce5519ef502bc571b87c4421afe7,5a2eb8b1758c6e4347f57ccb,2017-12-11T16:56:17.755Z,25,88644,47709,252434,TX,388787,362343,231,0,235,78596
0,2,0,2,4264,RANSOM CANYON,Lubbock (County),1931,1,3,0,0,485c2eeddb562907638c5928dd4cc653,5a2eb8b1758c6e4347f57cce,2017-12-11T16:56:17.756Z,0,0,0,12672,TX,12672,17056,4,0,4,79366
0,1,0,1,11825,LA VILLA,Hidalgo (County),1931,1,0,0,0,0b0872aeb8ecb127552761e34749d9ba,5a2eb8b1758c6e4347f57d0f,2017-12-11T16:56:17.781Z,0,3768,1570,0,TX,5338,11825,1,0,1,78570
0,1,0,1,6483,LYFORD,Hidalgo (County),1931,0,1,0,0,9a3423b395c5a30365c63ef8a48bcc4e,5a2eb8b1758c6e4347f57ce2,2017-12-11T16:56:17.764Z,0,0,4470,5318,TX,9788,6483,1,0,1,78569
0,6,0,6,1241,LUBBOCK,Lubbock (County),1931,0,14,0,0,62615c6a796e5f2c6d398103293d365e,5a2eb8b1758c6e4347f57ce7,2017-12-11T16:56:17.766Z,0,1810,2900,9817,TX,14527,17379,14,0,14,79411
20,20,10,50,10936,LAREDO,Webb (County),1931,11,35,13,6,52f56b253a93ad8ec6111d0c542e0b55,5a2eb8b1758c6e4347f57d1b,2017-12-11T16:56:17.786Z,5,171515,105646,442359,TX,719519,765533,70,5,72,78046
0,3,0,3,3211,OLMITO,Cameron (County),1931,0,4,0,0,87b99ae68c1584a975009544c7e28988,5a2eb8b1758c6e4347f57d0a,2017-12-11T16:56:17.779Z,0,392,1484,10825,TX,12700,12846,4,0,4,78575
8,22,2,32,6626,RIO GRANDE CITY,Starr (County),1931,5,27,4,2,3e8825032f3e41920c846c13dadc0af1,5a2eb8b1758c6e4347f57d19,2017-12-11T16:56:17.785Z,5,34935,24230,182890,TX,242055,284900,43,1,49,78582
1,22,0,23,1532,LUBBOCK,Lubbock (County),1931,1,42,0,0,3d04c1508a76c9903db3941f1e753b59,5a2eb8b1758c6e4347f57d14,2017-12-11T16:56:17.783Z,5,2279,7852,44035,TX,54166,73549,48,0,48,79403
0,3,0,3,995,LUBBOCK,Lubbock (County),1931,0,10,0,0,57193111157b503a44b1842565e1c9a5,5a2eb8b1758c6e4347f57d16,2017-12-11T16:56:17.784Z,2,0,2062,1505,TX,3567,11935,12,0,14,79423
0,27,0,27,2731,MONTE ALTO,Hidalgo (County),1931,0,32,0,0,cb8a0ca779b8322d3f094e68f46110af,5a2eb8b1758c6e4347f57cc9,2017-12-11T16:56:17.754Z,0,10062,3560,68492,TX,82114,87381,32,0,32,78538
0,9,0,9,1401,MIRANDO CITY,Webb (County),1931,0,11,0,0,c91eb022b25f00a9f3aba31c044ba24f,5a2eb8b1758c6e4347f57cd3,2017-12-11T16:56:17.758Z,2,959,0,14375,TX,15334,18209,13,0,13,78369
0,1,0,1,2272,SOUTH PADRE ISLAND,Cameron (County),1931,0,2,0,0,5d6695f609173293e61df34591d9f998,5a2eb8b1758c6e4347f57d0c,2017-12-11T16:56:17.780Z,1,0,0,1937,TX,1937,6817,3,0,4,78597
