approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
39,620,4,663,1265,EDINBURG,Hidalgo (County),1780,27,1,5,2,c0ef182b236dc6e4e4f2de31b01fd926,5a2eb849758c6e4347f5506b,2017-12-11T16:54:33.966Z,237,253513,309666,1364726,TX,1927904,2019687,1596,2,1,78541
26,268,3,297,1915,LA FERIA,Cameron (County),1780,19,553,5,1,f428257f58958eed4aa03fe425f60690,5a2eb84a758c6e4347f550a7,2017-12-11T16:54:34.009Z,86,110876,153262,791828,TX,1055966,1271522,664,1,783,78559
2,2,0,4,4953,LYFORD,Cameron (County),1780,1,3,0,0,cfbb925bb0af83042686243e1ec785c2,5a2eb84a758c6e4347f550a9,2017-12-11T16:54:34.010Z,1,1121,3070,21733,TX,25925,24763,5,0,5,78569
1,188,0,189,959,ELSA,Hidalgo (County),1780,3,403,0,0,a8af9f32169ff3f8e6f926a9e47ad0e2,5a2eb84a758c6e4347f550b3,2017-12-11T16:54:34.014Z,49,52773,58359,279491,TX,390623,436316,455,0,514,78543
1,138,1,140,1205,PORT ISABEL,Cameron (County),1780,1,292,0,1,16bacfe204b67d9961acb689987b21be,5a2eb84a758c6e4347f5509f,2017-12-11T16:54:34.006Z,29,25378,34448,237205,TX,297030,389066,323,1,418,78578
0,1,0,1,5045,RIO HONDO,Cameron (County),1780,0,1,0,0,044f70c8160ca42717ba4e564d6412d3,5a2eb849758c6e4347f55065,2017-12-11T16:54:33.963Z,0,0,0,4242,TX,4242,5045,1,0,1,78586
2,21,0,23,1480,LOZANO,Cameron (County),1780,1,44,0,0,a1bb672b3a3176fb4262be5aff99fc30,5a2eb849758c6e4347f5506d,2017-12-11T16:54:33.967Z,8,15791,12044,51164,TX,78999,78414,53,0,57,78568
0,4,0,4,1394,LAGUNA HEIGHTS,Cameron (County),1780,0,7,0,0,c0bb0dffe2008a53fb13560e7e48893d,5a2eb84a758c6e4347f550b8,2017-12-11T16:54:34.016Z,1,522,0,8030,TX,8553,11155,8,0,10,78578
0,1,0,1,7813,LAGUNA HTS,Cameron (County),1780,0,1,0,0,2f176b986e57c34f5780d93bbb66be1a,5a2eb84a758c6e4347f5509c,2017-12-11T16:54:34.004Z,0,1416,1118,4007,TX,6540,7813,1,0,1,78578
0,41,1,42,978,MISSION,Hidalgo (County),1780,0,97,0,1,555b598ac05dd59fbeb9c62abc8e21c6,5a2eb849758c6e4347f5507e,2017-12-11T16:54:33.991Z,22,8569,15630,71147,TX,95347,117344,120,1,141,78573
2,48,0,50,1447,COMBES,Cameron (County),1780,2,109,0,0,e9681c77b55b3fea3f09bd8933201612,5a2eb849758c6e4347f55079,2017-12-11T16:54:33.972Z,6,12842,10556,97484,TX,120882,169338,117,0,129,78535
2,23,0,25,617,SULLIVAN CITY,Hidalgo (County),1780,0,56,0,0,3ac162316b7eab4cc26667740e402d7a,5a2eb849758c6e4347f55083,2017-12-11T16:54:33.994Z,28,9107,22208,39246,TX,70561,51844,84,0,86,78595
33,715,4,752,1285,HARLINGEN,Cameron (County),1780,45,1,3,4,be285b8188283f6005374ccec9150568,5a2eb84a758c6e4347f550a6,2017-12-11T16:54:34.009Z,225,202506,226807,1433726,TX,1863039,2603120,2025,3,2,78550
0,3,0,3,965,RANCHO VIEJO,Cameron (County),1780,0,11,0,0,f6bd831da6f1710e8b2b1a49670c0740,5a2eb84a758c6e4347f550ab,2017-12-11T16:54:34.011Z,3,780,1172,2501,TX,4453,13511,14,0,21,78575
1,9,0,10,379,LA JOYA,Hidalgo (County),1780,0,20,0,0,05e2686d33d3dc872d2be2a8eb7cd674,5a2eb84a758c6e4347f550b5,2017-12-11T16:54:34.015Z,5,813,7824,13827,TX,22464,9483,25,0,27,78560
2,21,1,24,1950,SOUTH PADRE ISLAND,Cameron (County),1780,3,69,2,0,4cb409b9ef13a684aec3f95b25932753,5a2eb84a758c6e4347f550bf,2017-12-11T16:54:34.019Z,29,10623,22410,77925,TX,110958,200836,103,1,184,78597
