approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
1,6,0,7,1615,JOAQUIN,Shelby (County),1791,1,6,0,0,edb0220250ebf6ff342a5ad2837b181f,5a2eb84f758c6e4347f55cc7,2017-12-11T16:54:39.993Z,3,550,1443,16131,TX,18124,16146,10,0,13,75954
6,69,0,75,1460,NEW WAVERLY,Walker (County),1791,3,127,2,0,ebc084fe7cee66f380fdaa6b6db049a4,5a2eb84f758c6e4347f55c84,2017-12-11T16:54:39.964Z,34,26880,48554,163428,TX,238862,242302,166,0,313,77358
10,41,4,55,4527,SPURGER,Tyler (County),1791,9,79,1,4,7643c12807f2a9eabd34d4cd017f20fa,5a2eb84f758c6e4347f55c7f,2017-12-11T16:54:39.962Z,34,26936,58946,355311,TX,441193,574954,127,4,241,77660
0,3,0,3,1932,TYLER,Smith (County),1791,0,4,0,0,a799a91426e086cfad3b5961d1d23ecd,5a2eb84f758c6e4347f55cad,2017-12-11T16:54:39.982Z,3,729,0,7462,TX,8191,13523,7,0,14,75703
0,39,0,39,860,APPLE SPRINGS,Trinity (County),1791,0,55,0,0,8896fc21f7859d0f311f640fe3ae9dd8,5a2eb84f758c6e4347f55caf,2017-12-11T16:54:39.983Z,8,8414,12084,33372,TX,53870,54197,63,0,122,75926
4,25,0,29,1415,HILLISTER,Tyler (County),1791,3,48,0,0,e9dfb31f946409d1855fa8858b4aa0cc,5a2eb84f758c6e4347f55cb4,2017-12-11T16:54:39.985Z,11,8537,9544,62148,TX,80230,87701,62,0,120,77624
1,4,0,5,2962,MAGNOLIA,Waller (County),1791,2,9,0,0,63c71441b6fcc1c16a7e3db83efd9787,5a2eb84f758c6e4347f55c87,2017-12-11T16:54:39.966Z,5,1795,1732,22046,TX,25573,47389,16,0,22,77355
1,100,3,104,1987,WARREN,Tyler (County),1791,1,173,1,2,1dafe172241c8f4e3cc87660b7b9e470,5a2eb84f758c6e4347f55cb7,2017-12-11T16:54:39.986Z,52,16641,27327,278954,TX,322922,454964,229,3,451,77664
0,8,0,8,552,BROOKSHIRE,Waller (County),1791,0,17,0,0,08ebf35359dcdf8577b4cb439424d498,5a2eb84f758c6e4347f55cbc,2017-12-11T16:54:39.989Z,16,6786,2856,8531,TX,18173,18209,33,0,57,77423
3,23,0,26,2693,WALLER,Waller (County),1791,2,40,1,1,5f6da50bb915a752094abb5f5a93ec1f,5a2eb84f758c6e4347f55c7b,2017-12-11T16:54:39.960Z,21,6684,10162,77620,TX,94466,175025,65,0,110,77484
0,0,0,0,878,PRAIRIE VIEW,Waller (County),1791,0,4,0,0,d06c1a28483768a3ade8d288d18fe212,5a2eb84f758c6e4347f55ca3,2017-12-11T16:54:39.978Z,3,0,0,0,TX,0,6145,7,0,13,77446
1,3,0,4,584,WASHINGTON,Washington (County),1791,0,13,0,0,5892c1fbcaa55dc44248beb494bf1c00,5a2eb84f758c6e4347f55cc0,2017-12-11T16:54:39.990Z,4,0,13662,6796,TX,20458,9926,17,0,29,77880
5,146,1,152,825,TRINITY,Trinity (County),1791,1,207,0,1,d1ee4fd6a6db0bdb3cd30c5248c4513b,5a2eb84f758c6e4347f55cb1,2017-12-11T16:54:39.984Z,141,61512,44522,181015,TX,287049,288718,350,1,831,75862
0,3,0,3,375,RIVERSIDE,Walker (County),1791,0,10,0,0,ed546b424b5379458ffbbd0064a331e4,5a2eb84f758c6e4347f55cbb,2017-12-11T16:54:39.988Z,6,730,2436,3449,TX,6615,5995,16,0,40,77367
0,1,0,1,1710,TYLER,Smith (County),1791,0,3,0,0,c903c9529debe23d6970c667cb97ca3f,5a2eb84f758c6e4347f55cca,2017-12-11T16:54:39.995Z,2,0,0,3333,TX,3333,8548,5,0,15,75701
0,12,0,12,965,TIMPSON,Shelby (County),1791,0,14,0,0,8a90f89ca07dd78828b021d8285df3a1,5a2eb84f758c6e4347f55cc8,2017-12-11T16:54:39.994Z,4,3133,3104,11773,TX,18010,17377,18,0,38,75975
0,61,0,61,1446,POINTBLANK,San Jacinto (County),1791,0,107,0,0,24380878fe18ab1a63e63a9ff11aec6b,5a2eb84f758c6e4347f55cc5,2017-12-11T16:54:39.992Z,36,19515,42589,103632,TX,165736,206769,143,0,269,77364
0,3,0,3,1683,RICHARDS,Walker (County),1791,0,3,0,0,85dabc6e041a4553a3718f41bbabce3c,5a2eb850758c6e4347f55e22,2017-12-11T16:54:40.239Z,1,0,1218,6731,TX,7949,6731,4,0,4,77873
0,4,0,4,1456,CHAPPELL HILL,Washington (County),1791,0,11,0,0,6984a2709e2995e86bf4748f0deeaebb,5a2eb850758c6e4347f55e27,2017-12-11T16:54:40.241Z,1,205,0,7989,TX,8194,17473,12,0,14,77426
