approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
3,178,0,181,502,BACLIFF,Galveston (County),1606,0,253,1,0,29ebe5c7ae0f22571cbbee25f08694f2,5a2eb794758c6e4347f5123f,2017-12-11T16:51:32.954Z,156,27537,238314,94351,TX,360202,205676,410,0,769,77518
0,1,0,1,5072,SILSBEE ,Hardin (County),1606,0,1,0,0,bbee9e2643e2bae0b135ca51c7acfc51,5a2eb794758c6e4347f5125c,2017-12-11T16:51:32.967Z,0,807,2000,0,TX,2807,5072,1,0,1,77656
5,254,0,259,1400,HANKAMER,Chambers (County),1606,1,214,1,2,c6b12fc316074e65508bcb272e4ed656,5a2eb794758c6e4347f51260,2017-12-11T16:51:32.968Z,65,117783,393644,102939,TX,614366,396181,283,0,375,77560
0,22,0,22,130,CLUTE,Brazoria (County),1606,0,16,0,0,945ddb888d2bcf786d32558affb280eb,5a2eb794758c6e4347f5122b,2017-12-11T16:51:32.882Z,71,1614,36000,4280,TX,41893,11351,87,0,248,77531
0,70,0,70,360,MONT BELVIEU,Chambers (County),1606,0,90,0,0,6f5c15889d85211d780e50f054063716,5a2eb794758c6e4347f5129d,2017-12-11T16:51:32.995Z,81,11983,98000,2901,TX,112884,61499,171,0,300,77580
0,4,0,4,1503,SIMONTON,Fort Bend (County),1606,1,9,0,0,cb0d62de8e013605b583f8f79a83fcc1,5a2eb794758c6e4347f51270,2017-12-11T16:51:32.975Z,3,0,3458,8438,TX,11896,19533,13,0,13,77476
0,7,0,7,240,LIVERPOOL,Brazoria (County),1606,0,10,0,0,0ac07a902a2fbb928921bf686ee7d0cb,5a2eb794758c6e4347f5122e,2017-12-11T16:51:32.883Z,14,769,8000,3088,TX,11857,5756,24,0,43,77577
0,12,0,12,108,RICHMOND,Fort Bend (County),1606,0,12,0,0,0daea3ae4288ce9e4d0ebab605527037,5a2eb795758c6e4347f512a9,2017-12-11T16:51:33.001Z,47,807,20000,562,TX,21369,6361,59,0,148,77469
0,37,0,37,62,MISSOURI CITY,Fort Bend (County),1606,0,29,0,0,27a761a6cb656a086c64f22d5bdb2214,5a2eb794758c6e4347f5123a,2017-12-11T16:51:32.952Z,72,2639,68000,104,TX,70743,6295,101,0,229,77459
0,2,0,2,951,TIKI ISLAND,Galveston (County),1606,0,4,0,0,24635cccf964a441b3869aadc18a9008,5a2eb795758c6e4347f512c1,2017-12-11T16:51:33.011Z,4,0,4000,0,TX,4000,7610,8,0,13,77554
0,7,0,7,1185,LIBERTY,Chambers (County),1606,0,5,0,0,4708878101525f67d5da5d60fb7f52bc,5a2eb794758c6e4347f5129c,2017-12-11T16:51:32.995Z,3,3615,8657,4292,TX,16564,9480,8,0,10,77575
7,680,1,688,1736,LUFKIN,Angelina (County),1606,4,883,0,8,0e09f6c593f62b928b9e71fe150c84ee,5a2eb794758c6e4347f51288,2017-12-11T16:51:32.986Z,296,340028,471447,298030,TX,1109505,2067591,1191,1,1,75901
1,17,0,18,1365,ALVIN,Galveston (County),1606,0,28,0,1,189380199e539454d585878cd061088f,5a2eb794758c6e4347f5123e,2017-12-11T16:51:32.953Z,31,4313,17329,15715,TX,37357,81876,60,0,104,77511
7,401,0,408,842,GALVESTON,Galveston (County),1606,3,658,0,1,b139c8fe0587aa08ea6ac6885124ea19,5a2eb795758c6e4347f512b4,2017-12-11T16:51:33.006Z,353,71983,626344,237682,TX,936008,854698,1015,0,1,77550
2,14,0,16,3228,RYE,Hardin (County),1606,1,14,1,0,075f2bfc258a679a0f358ff86a404ead,5a2eb794758c6e4347f5125b,2017-12-11T16:51:32.966Z,8,22222,18361,34791,TX,75374,77465,24,0,26,77369
1,217,0,218,325,TEXAS CITY,Galveston (County),1606,1,255,0,0,3e8be6d399bd71e0d1821ed998c01d00,5a2eb794758c6e4347f51253,2017-12-11T16:51:32.963Z,275,12086,342168,78265,TX,432518,172715,531,0,1,77591
0,51,0,51,499,DAYTON,Chambers (County),1606,0,77,0,0,e8df58b2b96e347a852f8c79744c6698,5a2eb794758c6e4347f5125f,2017-12-11T16:51:32.968Z,39,9003,47186,19400,TX,75588,57896,116,0,170,77535
0,37,0,37,132,FRESNO,Fort Bend (County),1606,0,66,0,0,270bf8ee524e6a636f86a604eff26acb,5a2eb795758c6e4347f512f1,2017-12-11T16:51:33.043Z,73,1461,67240,648,TX,69350,18414,139,0,319,77545
0,54,0,54,236,HOUSTON,Harris (County),1606,0,73,0,0,906389d7c10bc980e70683acfc83dbe3,5a2eb795758c6e4347f512d8,2017-12-11T16:51:33.021Z,86,7024,67204,16495,TX,90722,37459,159,0,309,77017
0,93,1,94,486,GALVESTON,Galveston (County),1606,0,145,0,0,88de3e700ef94917a5688cdc48529934,5a2eb794758c6e4347f5127b,2017-12-11T16:51:32.980Z,131,32870,163939,28565,TX,225373,134203,276,1,539,77554
0,2,0,2,1076,SURFSIDE BEACH,Brazoria (County),1606,0,3,0,0,c5c1c28fe8da99d6901490c316e7ee3f,5a2eb795758c6e4347f512e0,2017-12-11T16:51:33.025Z,3,0,4000,5200,TX,9200,6458,6,0,12,77541
0,49,0,49,229,BAYTOWN,Chambers (County),1606,0,55,0,0,0acd004a4890e6c7215fb1564d905034,5a2eb795758c6e4347f512e4,2017-12-11T16:51:33.027Z,92,9701,60385,10437,TX,80523,33631,147,0,284,77521
